DV;Bloc;N;Singular;model_type;beta_econ;se_econ;p_econ;beta_esp;se_esp;p_esp;OR;OR_CI_lo;OR_CI_hi;mcfadden;aic;bic;lr_p;brant_chi2;brant_p;po_ok;media_e0;media_e1;media_cf;delta_Y;p_econ_bonf;p_econ_holm;p_econ_bh;p_esp_bh;p_esp_holm;stars_econ;stars_econ_bh;stars_esp
últimos_20_anos;H6-Pessimista;145;False;ordered_logit;1.0178;0.6299;0.1061;0.3495;0.1812;0.0538;2.767;0.805;9.51;0.0399;263.6;290.39;0.177;2.453;0.9997;True;0.48091603053435117;0.7142857142857143;0.3472797401564505;0.3944;1.0;1.0;0.5112090909090908;0.07311282051282052;0.807;;;
pensando_apenas_salários;H6-Pessimista;144;False;ordered_logit;0.1901;0.6772;0.7789;0.2139;0.1913;0.2636;1.209;0.321;4.56;0.0257;235.36;262.09;0.572;0.655;1.0;True;0.3769230769230769;0.42857142857142855;0.34729344660292344;0.0559;1.0;1.0;0.9139901960784313;0.3104622222222222;1.0;;;
algumas_pessoas_dizem_2;H6-Pessimista;146;False;ordered_logit;-0.2036;0.633;0.7478;-0.1473;0.1726;0.3934;0.816;0.236;2.821;0.0734;252.29;279.15;0.0096;1.995;0.9999;True;1.2803030303030303;1.2857142857142858;1.324484065839714;-0.0536;1.0;1.0;0.9139901960784313;0.4343791666666667;1.0;;;
próximos_cinco_anos;H6-Pessimista;141;False;ordered_logit;-0.3769;0.5978;0.5285;-0.208;0.1618;0.1986;0.686;0.213;2.214;0.0153;303.92;330.46;0.7266;2.321;0.9998;True;0.7244094488188977;0.5714285714285714;0.7057727909566868;-0.1403;1.0;1.0;0.9139901960784313;0.24478604651162789;1.0;;;
espera_geração_seus;H6-Pessimista;145;False;ordered_logit;-0.5496;0.5929;0.354;0.2519;0.1637;0.1238;0.577;0.181;1.845;0.0291;297.1;323.89;0.3003;5.34;0.9805;True;1.4045801526717556;1.0714285714285714;1.310061838346021;-0.2128;1.0;1.0;0.7877125;0.1600341463414634;1.0;;;
filhos_menos_30;H6-Pessimista;110;False;ordered_logit;-0.2026;0.6303;0.7478;0.5458;0.1965;0.0055;0.817;0.237;2.809;0.0689;211.56;235.86;0.0457;4.207;0.9941;True;1.4639175257731958;1.2307692307692308;1.3212812705925232;-0.0658;1.0;1.0;0.9139901960784313;0.009275;0.1265;;;**
reforma_previdência_necessária;H7-Ideologia;146;False;ordered_logit;-1.3948;0.6023;0.0206;0.6523;0.178;0.0002;0.248;0.076;0.807;0.0843;262.03;288.88;0.0021;2.311;0.9998;True;1.5303030303030303;1.0;1.5016551800374736;-0.4742;1.0;1.0;0.36393333333333333;0.00048181818181818184;0.0068000000000000005;*;;***
reforma_trabalhista_necessária;H7-Ideologia;146;False;ordered_logit;-1.1787;0.6076;0.0524;0.6265;0.175;0.0003;0.308;0.094;1.012;0.0742;272.92;299.78;0.0047;5.802;0.9712;True;1.4772727272727273;1.0714285714285714;1.4875008085160568;-0.4104;1.0;1.0;0.4028;0.0006624999999999999;0.0093;;;***
reforma_tributária_necessária;H7-Ideologia;146;False;ordered_logit;0.2092;1.1358;0.8539;-0.076;0.2295;0.7405;1.233;0.133;11.419;0.0458;159.76;186.61;0.4487;2.229;0.9998;True;1.803030303030303;1.9285714285714286;1.9047768240771308;0.0301;1.0;1.0;0.9139901960784313;0.7547403846153846;1.0;;;
privatização_estatais_benéfica;H7-Ideologia;145;False;ordered_logit;-0.3348;0.7015;0.6331;2.0885;0.2718;0.0;0.715;0.181;2.829;0.3378;228.27;255.06;0.0;12.33;0.5798;True;1.0534351145038168;0.7857142857142857;0.8271924531315554;-0.0827;1.0;1.0;0.9139901960784313;0.0;0.0;;;***
produtos_importados_benéficos;H4-Antiestrangeiro;145;False;ordered_logit;1.4493;0.7036;0.0394;0.8167;0.186;0.0;4.26;1.073;16.919;0.1229;252.02;278.82;0.0;6.591;0.9493;True;1.251908396946565;1.6428571428571428;1.314268062043764;0.3656;1.0;1.0;0.4028;0.0;0.0;*;;***
corrupção_principal_causa;H7-Ideologia;145;False;ordered_logit;-0.5761;0.5915;0.33;1.0022;0.1873;0.0;0.562;0.176;1.792;0.1501;275.63;302.42;0.0;2.598;0.9996;True;1.3053435114503817;0.8571428571428571;1.0427735268372516;-0.1915;1.0;1.0;0.7877125;0.0;0.0;;;***
taxa_juros_selic;H7-Ideologia;145;False;ordered_logit;1.616;0.8358;0.0532;-0.4016;0.1721;0.0196;5.033;0.978;25.898;0.0989;266.17;292.96;0.0003;5.402;0.9794;True;1.366412213740458;1.8571428571428572;1.5005458892761763;0.3958;1.0;1.0;0.4028;0.028075675675675676;0.3332;;;*
